TimeOfDay,Power_Consumed
12:00AM,0
12:01AM,0.033
12:02AM,0.017
12:03AM,0.083
12:04AM,0.2
12:05AM,0.067
12:06AM,0.233
12:07AM,0
12:08AM,0.05
12:09AM,982.167
12:10AM,15.95
12:11AM,0.233
12:12AM,0.033
12:13AM,0.25
12:14AM,0.117
12:15AM,0.25
12:16AM,0.217
12:17AM,0.033
12:18AM,0.367
12:19AM,0
12:20AM,0.05
12:21AM,0.05
12:22AM,0.1
12:23AM,0.267
12:24AM,0.017
12:25AM,0.017
12:26AM,0.033
12:27AM,0.017
12:28AM,0.017
12:29AM,0.017
12:30AM,0.033
12:31AM,0.267
12:32AM,0
12:33AM,0.033
12:34AM,0.05
12:35AM,0
12:36AM,0
12:37AM,0.1
12:38AM,0.017
12:39AM,0.1
12:40AM,0
12:41AM,0.25
12:42AM,0.067
12:43AM,0.017
12:44AM,0.367
12:45AM,0.017
12:46AM,0.267
12:47AM,0.017
12:48AM,0.283
12:49AM,0
12:50AM,0.033
12:51AM,0.017
12:52AM,0.133
12:53AM,0.017
12:54AM,0.05
12:55AM,0.017
12:56AM,0.017
12:57AM,0.083
12:58AM,0.25
12:59AM,0
1:00AM,0.233
1:01AM,0
1:02AM,0.233
1:03AM,0.1
1:04AM,0
1:05AM,0.017
1:06AM,0
1:07AM,0.067
1:08AM,0.067
1:09AM,1330.15
1:10AM,1343.983
1:11AM,0.217
1:12AM,0.3
1:13AM,0.25
1:14AM,0
1:15AM,0
1:16AM,0
1:17AM,0.017
1:18AM,0.033
1:19AM,0
1:20AM,0.017
1:21AM,0
1:22AM,0
1:23AM,0.017
1:24AM,0
1:25AM,0
1:26AM,0
1:27AM,0.233
1:28AM,0
1:29AM,0.05
1:30AM,0.017
1:31AM,0.083
1:32AM,0.25
1:33AM,0
1:34AM,0.3
1:35AM,0.033
1:36AM,0.067
1:37AM,0.017
1:38AM,0
1:39AM,119.633
1:40AM,114.55
1:41AM,0.233
1:42AM,0.017
1:43AM,0.25
1:44AM,0.25
1:45AM,0.083
1:46AM,0.017
1:47AM,0.017
1:48AM,0.017
1:49AM,0.017
1:50AM,0.267
1:51AM,0
1:52AM,0.05
1:53AM,0.05
1:54AM,0.05
1:55AM,0.033
1:56AM,0.05
1:57AM,0.25
1:58AM,244.867
1:59AM,0.567
2:00AM,0.233
2:01AM,0
2:02AM,0.017
2:03AM,0.017
2:04AM,0
2:05AM,0.017
2:06AM,0.067
2:07AM,0.033
2:08AM,0.033
2:09AM,0.033
2:10AM,0.017
2:11AM,1342.567
2:12AM,1353.033
2:13AM,0.267
2:14AM,0.25
2:15AM,0.033
2:16AM,0.233
2:17AM,0.25
2:18AM,0.217
2:19AM,0.317
2:20AM,0
2:21AM,0.267
2:22AM,0.017
2:23AM,0
2:24AM,0.3
2:25AM,0.017
2:26AM,0.117
2:27AM,0.1
2:28AM,0.033
2:29AM,0.083
2:30AM,0.033
2:31AM,0.067
2:32AM,0
2:33AM,0
2:34AM,0.017
2:35AM,0
2:36AM,0.017
2:37AM,0.25
2:38AM,0
2:39AM,0.283
2:40AM,0
2:41AM,0.017
2:42AM,0.05
2:43AM,0
2:44AM,0.033
2:45AM,0
2:46AM,0.017
2:47AM,0.017
2:48AM,0.033
2:49AM,0.033
2:50AM,0.083
2:51AM,0
2:52AM,0.25
2:53AM,0
2:54AM,0.05
2:55AM,0.05
2:56AM,0.017
2:57AM,119.617
2:58AM,116.567
2:59AM,0.2
3:00AM,0.25
3:01AM,0.233
3:02AM,0.033
3:03AM,0.233
3:04AM,0.267
3:05AM,0.05
3:06AM,0.033
3:07AM,0.267
3:08AM,0.05
3:09AM,0
3:10AM,0.017
3:11AM,0
3:12AM,0
3:13AM,0
3:14AM,0
3:15AM,0
3:16AM,0.017
3:17AM,0.017
3:18AM,0.067
3:19AM,0.017
3:20AM,0.017
3:21AM,0.017
3:22AM,0.017
3:23AM,0.233
3:24AM,0.05
3:25AM,0
3:26AM,0.233
3:27AM,0.017
3:28AM,0.05
3:29AM,0.233
3:30AM,0.05
3:31AM,0.25
3:32AM,0.05
3:33AM,0.267
3:34AM,0.25
3:35AM,0.017
3:36AM,0.25
3:37AM,0.017
3:38AM,0.25
3:39AM,0.017
3:40AM,0.067
3:41AM,0.017
3:42AM,1318.35
3:43AM,1301.883
3:44AM,0.067
3:45AM,0.35
3:46AM,0.017
3:47AM,0
3:48AM,0.017
3:49AM,0.233
3:50AM,0.017
3:51AM,0.25
3:52AM,0.067
3:53AM,0.067
3:54AM,0.05
3:55AM,0.05
3:56AM,0.083
3:57AM,0.017
3:58AM,0.3
3:59AM,0.033
4:00AM,0.033
4:01AM,0.25
4:02AM,0.1
4:03AM,0
4:04AM,0.017
4:05AM,0.017
4:06AM,0.017
4:07AM,0.267
4:08AM,0.067
4:09AM,0
4:10AM,0.083
4:11AM,0.017
4:12AM,0.25
4:13AM,0
4:14AM,0.15
4:15AM,0.017
4:16AM,0.233
4:17AM,0.017
4:18AM,0.083
4:19AM,0.017
4:20AM,0.25
4:21AM,0.05
4:22AM,0.017
4:23AM,0.033
4:24AM,0.233
4:25AM,0.317
4:26AM,0
4:27AM,114.8
4:28AM,1339.717
4:29AM,0.25
4:30AM,0.033
4:31AM,0
4:32AM,0.033
4:33AM,0.017
4:34AM,0.017
4:35AM,0
4:36AM,0
4:37AM,0
4:38AM,0
4:39AM,0
4:40AM,0
4:41AM,0
4:42AM,0.067
4:43AM,0
4:44AM,0
4:45AM,0
4:46AM,0.033
4:47AM,0
4:48AM,0.017
4:49AM,0.017
4:50AM,0
4:51AM,0
4:52AM,0.017
4:53AM,117.483
4:54AM,113.567
4:55AM,0
4:56AM,0
4:57AM,0.017
4:58AM,0.017
4:59AM,0.017
5:00AM,0.083
5:01AM,0
5:02AM,0.083
5:03AM,0.033
5:04AM,0.017
5:05AM,0.1
5:06AM,0.133
5:07AM,0
5:08AM,0
5:09AM,27.783
5:10AM,116.033
5:11AM,0.283
5:12AM,0.283
5:13AM,0.283
5:14AM,0.283
5:15AM,0.017
5:16AM,0.017
5:17AM,0.017
5:18AM,0.117
5:19AM,0.033
5:20AM,0.1
5:21AM,0.05
5:22AM,0.017
5:23AM,0
5:24AM,0.083
5:25AM,0.017
5:26AM,0
5:27AM,0.017
5:28AM,0.017
5:29AM,0
5:30AM,0.083
5:31AM,0.1
5:32AM,0.033
5:33AM,0
5:34AM,0.05
5:35AM,0.017
5:36AM,0.083
5:37AM,0
5:38AM,0.017
5:39AM,0
5:40AM,0
5:41AM,0.017
5:42AM,0.1
5:43AM,0.1
5:44AM,0.083
5:45AM,0.133
5:46AM,1325.283
5:47AM,72.383
5:48AM,0.267
5:49AM,0.267
5:50AM,0.267
5:51AM,0.417
5:52AM,0.267
5:53AM,0.283
5:54AM,0.433
5:55AM,0.017
5:56AM,0
5:57AM,0.133
5:58AM,0.15
5:59AM,0.15
6:00AM,0.017
6:01AM,0.017
6:02AM,0.017
6:03AM,0.017
6:04AM,0
6:05AM,0.017
6:06AM,0.017
6:07AM,0.033
6:08AM,0.1
6:09AM,0.117
6:10AM,115.067
6:11AM,0.55
6:12AM,0.25
6:13AM,0.417
6:14AM,0.417
6:15AM,0.283
6:16AM,0.4
6:17AM,0.333
6:18AM,0.433
6:19AM,0.433
6:20AM,0
6:21AM,0.017
6:22AM,0
6:23AM,0.017
6:24AM,0
6:25AM,0
6:26AM,0.017
6:27AM,0.033
6:28AM,0.05
6:29AM,0
6:30AM,0.2
6:31AM,0
6:32AM,0.067
6:33AM,0.117
6:34AM,0.083
6:35AM,1366
6:36AM,1367.133
6:37AM,0.267
6:38AM,0.25
6:39AM,0.033
6:40AM,0.267
6:41AM,0.283
6:42AM,0
6:43AM,0.017
6:44AM,0.017
6:45AM,0.1
6:46AM,0.25
6:47AM,0
6:48AM,0.017
6:49AM,0
6:50AM,0.25
6:51AM,0.017
6:52AM,0.083
6:53AM,0.017
6:54AM,0
6:55AM,0.233
6:56AM,0.083
6:57AM,0.017
6:58AM,0.067
6:59AM,0.083
7:00AM,0.117
7:01AM,0
7:02AM,0
7:03AM,0.033
7:04AM,0.05
7:05AM,0
7:06AM,0
7:07AM,0
7:08AM,0.017
7:09AM,0.25
7:10AM,0.267
7:11AM,0.017
7:12AM,0.25
7:13AM,0.017
7:14AM,0
7:15AM,0.017
7:16AM,0.017
7:17AM,0.017
7:18AM,0
7:19AM,0.067
7:20AM,0.067
7:21AM,0
7:22AM,0.017
7:23AM,0
7:24AM,0.017
7:25AM,0
7:26AM,0.017
7:27AM,0.083
7:28AM,0
7:29AM,0.1
7:30AM,0.1
7:31AM,0.117
7:32AM,0
7:33AM,0
7:34AM,0.033
7:35AM,0.017
7:36AM,0.017
7:37AM,0.017
7:38AM,0
7:39AM,0.25
7:40AM,0.017
7:41AM,1317.583
7:42AM,1286.833
7:43AM,0.133
7:44AM,0.017
7:45AM,0
7:46AM,0.017
7:47AM,0.017
7:48AM,0
7:49AM,0
7:50AM,0.017
7:51AM,0.067
7:52AM,0.067
7:53AM,0.233
7:54AM,0.083
7:55AM,0
7:56AM,0.033
7:57AM,489.8
7:58AM,0.583
7:59AM,0.283
8:00AM,0.283
8:01AM,0.283
8:02AM,0.267
8:03AM,0
8:04AM,0
8:05AM,0
8:06AM,0
8:07AM,0.017
8:08AM,0
8:09AM,0
8:10AM,0
8:11AM,0
8:12AM,0.017
8:13AM,0
8:14AM,0
8:15AM,0
8:16AM,0
8:17AM,0.017
8:18AM,0.067
8:19AM,0.067
8:20AM,0.033
8:21AM,0
8:22AM,0
8:23AM,0.017
8:24AM,0
8:25AM,0
8:26AM,0.017
8:27AM,0.033
8:28AM,0
8:29AM,0
8:30AM,0.017
8:31AM,0.017
8:32AM,0.017
8:33AM,0.017
8:34AM,0.017
8:35AM,0
8:36AM,0
8:37AM,0
8:38AM,0
8:39AM,0
8:40AM,0
8:41AM,0
8:42AM,0
8:43AM,0.017
8:44AM,0.017
8:45AM,113.733
8:46AM,2.583
8:47AM,0.283
8:48AM,0.267
8:49AM,0.283
8:50AM,0.017
8:51AM,0.033
8:52AM,0.017
8:53AM,0.017
8:54AM,0
8:55AM,0
8:56AM,0
8:57AM,0
8:58AM,0.017
8:59AM,0
9:00AM,0
9:01AM,0.017
9:02AM,0.017
9:03AM,0
9:04AM,0
9:05AM,0
9:06AM,0
9:07AM,0
9:08AM,0
9:09AM,0.033
9:10AM,0.017
9:11AM,0
9:12AM,0.017
9:13AM,0
9:14AM,0
9:15AM,0.017
9:16AM,0.033
9:17AM,0.017
9:18AM,0
9:19AM,0
9:20AM,0
9:21AM,0.017
9:22AM,0.017
9:23AM,0
9:24AM,0.017
9:25AM,0.017
9:26AM,0.033
9:27AM,0
9:28AM,0.017
9:29AM,0
9:30AM,0.017
9:31AM,0.233
9:32AM,0.1
9:33AM,0
9:34AM,0
9:35AM,110.533
9:36AM,1339.6
9:37AM,0.283
9:38AM,0.3
9:39AM,0.267
9:40AM,0.267
9:41AM,0.283
9:42AM,0.267
9:43AM,0.267
9:44AM,0.017
9:45AM,0.017
9:46AM,0
9:47AM,0
9:48AM,0
9:49AM,0
9:50AM,0
9:51AM,0
9:52AM,0.017
9:53AM,0.017
9:54AM,0.033
9:55AM,0.25
9:56AM,0.017
9:57AM,0.033
9:58AM,0
9:59AM,0.05
10:00AM,0.017
10:01AM,0
10:02AM,0
10:03AM,0
10:04AM,0
10:05AM,0
10:06AM,0
10:07AM,0
10:08AM,1332.5
10:09AM,1313.1
10:10AM,0.25
10:11AM,0.25
10:12AM,0.267
10:13AM,0.267
10:14AM,0.25
10:15AM,0.267
10:16AM,0.217
10:17AM,0.033
10:18AM,0.25
10:19AM,0.017
10:20AM,0.017
10:21AM,0.033
10:22AM,0
10:23AM,0.033
10:24AM,0
10:25AM,0.067
10:26AM,0.017
10:27AM,0.283
10:28AM,0.017
10:29AM,0
10:30AM,0.25
10:31AM,0.033
10:32AM,0.317
10:33AM,0.017
10:34AM,0
10:35AM,114.5
10:36AM,0.283
10:37AM,0.233
10:38AM,0.383
10:39AM,0.033
10:40AM,0.25
10:41AM,0.2
10:42AM,0.4
10:43AM,0.05
10:44AM,0
10:45AM,0
10:46AM,0
10:47AM,0.217
10:48AM,0
10:49AM,0
10:50AM,0.017
10:51AM,0
10:52AM,0.333
10:53AM,0.05
10:54AM,0.017
10:55AM,0.017
10:56AM,0.033
10:57AM,0.1
10:58AM,0
10:59AM,0.033
11:00AM,0
11:01AM,0
11:02AM,0.017
11:03AM,0.017
11:04AM,0.233
11:05AM,0.067
11:06AM,0.017
11:07AM,0.017
11:08AM,0
11:09AM,0
11:10AM,0.017
11:11AM,0
11:12AM,0.017
11:13AM,0
11:14AM,0
11:15AM,0
11:16AM,0
11:17AM,0
11:18AM,0
11:19AM,0
11:20AM,0.017
11:21AM,1308.817
11:22AM,1298.983
11:23AM,0.267
11:24AM,0.25
11:25AM,0.233
11:26AM,0.25
11:27AM,0.25
11:28AM,0.25
11:29AM,0.033
11:30AM,0.417
11:31AM,0.1
11:32AM,0.017
11:33AM,0.017
11:34AM,0
11:35AM,0
11:36AM,0.017
