TimeOfDay,Power_Consumed
12:00AM,138.5
12:01AM,5.067
12:02AM,125.933
12:03AM,5.267
12:04AM,120.633
12:05AM,5.3
12:06AM,11.1
12:07AM,5.117
12:08AM,29.617
12:09AM,133.733
12:10AM,4.883
12:11AM,4.917
12:12AM,4.75
12:13AM,5.1
12:14AM,4.85
12:15AM,5.083
12:16AM,119.8
12:17AM,4.733
12:18AM,122.667
12:19AM,4.683
12:20AM,125.267
12:21AM,5.333
12:22AM,121.383
12:23AM,4.733
12:24AM,119.367
12:25AM,5.033
12:26AM,100.517
12:27AM,5.067
12:28AM,4.8
12:29AM,5.017
12:30AM,4.933
12:31AM,83.45
12:32AM,116.333
12:33AM,110.75
12:34AM,108.15
12:35AM,106.25
12:36AM,104.2
12:37AM,139.517
12:38AM,4.967
12:39AM,5
12:40AM,5.167
12:41AM,120.733
12:42AM,5.05
12:43AM,5.033
12:44AM,138.817
12:45AM,5.4
12:46AM,4.733
12:47AM,119.9
12:48AM,4.75
12:49AM,120.867
12:50AM,5
12:51AM,121.65
12:52AM,5.417
12:53AM,122.7
12:54AM,5.4
12:55AM,122.067
12:56AM,5.067
12:57AM,121.817
12:58AM,4.667
12:59AM,120.2
1:00AM,4.767
1:01AM,119.8
1:02AM,4.767
1:03AM,4.983
1:04AM,5.083
1:05AM,5.15
1:06AM,5.133
1:07AM,117.2
1:08AM,111.733
1:09AM,120.617
1:10AM,3.683
1:11AM,5.067
1:12AM,5.217
1:13AM,5.067
1:14AM,5.133
1:15AM,5.2
1:16AM,135.517
1:17AM,5.1
1:18AM,4.933
1:19AM,119.217
1:20AM,5.083
1:21AM,123
1:22AM,5.133
1:23AM,139.817
1:24AM,5.4
1:25AM,5.467
1:26AM,45.317
1:27AM,4.733
1:28AM,121.433
1:29AM,5.317
1:30AM,126.117
1:31AM,5.383
1:32AM,4.733
1:33AM,5.133
1:34AM,4.783
1:35AM,130.867
1:36AM,5.05
1:37AM,129.667
1:38AM,5.1
1:39AM,5.133
1:40AM,5.483
1:41AM,4.917
1:42AM,133.483
1:43AM,4.633
1:44AM,126.983
1:45AM,130.633
1:46AM,4.783
1:47AM,134.7
1:48AM,5.133
1:49AM,137.033
1:50AM,4.767
1:51AM,122.133
1:52AM,5.083
1:53AM,5.017
1:54AM,126.633
1:55AM,5.067
1:56AM,119.25
1:57AM,111.617
1:58AM,108.167
1:59AM,105.767
2:00AM,119.95
2:01AM,5.017
2:02AM,4.983
2:03AM,26.217
2:04AM,5.2
2:05AM,5.167
2:06AM,125.917
2:07AM,5.167
2:08AM,4.75
2:09AM,132.817
2:10AM,4.8
2:11AM,132.133
2:12AM,121.767
2:13AM,122.633
2:14AM,124.083
2:15AM,123.317
2:16AM,125.85
2:17AM,124.633
2:18AM,4.983
2:19AM,5.617
2:20AM,120.45
2:21AM,113.467
2:22AM,91.733
2:23AM,5.05
2:24AM,4.7
2:25AM,124.483
2:26AM,4.967
2:27AM,5.383
2:28AM,5.117
2:29AM,137.8
2:30AM,5.333
2:31AM,5.283
2:32AM,122.2
2:33AM,138.5
2:34AM,139.733
2:35AM,5.067
2:36AM,5.1
2:37AM,148.55
2:38AM,5.083
2:39AM,4.683
2:40AM,143.733
2:41AM,5.05
2:42AM,5.033
2:43AM,5.1
2:44AM,4.85
2:45AM,121.467
2:46AM,5.05
2:47AM,5.033
2:48AM,125.317
2:49AM,5
2:50AM,5.317
2:51AM,128.1
2:52AM,4.717
2:53AM,5.05
2:54AM,138.717
2:55AM,5.033
2:56AM,124.1
2:57AM,40.233
2:58AM,4.6
2:59AM,134.45
3:00AM,5.1
3:01AM,5.05
3:02AM,137.217
3:03AM,5.117
3:04AM,35.867
3:05AM,4.8
3:06AM,5.083
3:07AM,121.183
3:08AM,4.8
3:09AM,5.133
3:10AM,125.4
3:11AM,5.133
3:12AM,120.717
3:13AM,5.117
3:14AM,5.483
3:15AM,127.217
3:16AM,5.083
3:17AM,5.033
3:18AM,4.917
3:19AM,4.967
3:20AM,120.95
3:21AM,5.083
3:22AM,5.1
3:23AM,123.433
3:24AM,5.75
3:25AM,5.05
3:26AM,129.5
3:27AM,5.1
3:28AM,5.433
3:29AM,4.75
3:30AM,5
3:31AM,120.7
3:32AM,4.8
3:33AM,5.117
3:34AM,127.633
3:35AM,5.033
3:36AM,118.917
3:37AM,5.033
3:38AM,4.683
3:39AM,123.533
3:40AM,4.967
3:41AM,5.05
3:42AM,122.8
3:43AM,113.15
3:44AM,110.4
3:45AM,107.617
3:46AM,106.167
3:47AM,5.083
3:48AM,5.067
3:49AM,4.733
3:50AM,5.067
3:51AM,123.667
3:52AM,5.383
3:53AM,142.65
3:54AM,5.733
3:55AM,139.183
3:56AM,4.967
3:57AM,5.183
3:58AM,4.717
3:59AM,5.35
4:00AM,125.767
4:01AM,4.75
4:02AM,5.733
4:03AM,124.117
4:04AM,5.083
4:05AM,5.267
4:06AM,5.417
4:07AM,124.467
4:08AM,4.667
4:09AM,4.817
4:10AM,5.4
4:11AM,124.267
4:12AM,4.75
4:13AM,5.1
4:14AM,118.083
4:15AM,112.4
4:16AM,86.517
4:17AM,5.083
4:18AM,5.433
4:19AM,128.183
4:20AM,19.3
4:21AM,4.933
4:22AM,143.2
4:23AM,5
4:24AM,4.75
4:25AM,4.7
4:26AM,5.167
4:27AM,4.967
4:28AM,4.117
4:29AM,122.983
4:30AM,127.65
4:31AM,139.567
4:32AM,4.883
4:33AM,4.967
4:34AM,131.583
4:35AM,138.133
4:36AM,5.017
4:37AM,4.95
4:38AM,4.9
4:39AM,123.25
4:40AM,4.917
4:41AM,4.983
4:42AM,5.2
4:43AM,121.8
4:44AM,4.85
4:45AM,4.833
4:46AM,4.7
4:47AM,131.233
4:48AM,10.4
4:49AM,50.333
4:50AM,120.617
4:51AM,132.05
4:52AM,5.083
4:53AM,4.983
4:54AM,4.933
4:55AM,131.683
4:56AM,167.183
4:57AM,128.583
4:58AM,114.917
4:59AM,134.583
5:00AM,5.35
5:01AM,4.983
5:02AM,145.25
5:03AM,5.217
5:04AM,5.133
5:05AM,122.833
5:06AM,5.383
5:07AM,160.083
5:08AM,5
5:09AM,123.983
5:10AM,5.283
5:11AM,5.117
5:12AM,126.033
5:13AM,5.117
5:14AM,5.1
5:15AM,122.7
5:16AM,5.033
5:17AM,5.017
5:18AM,120.133
5:19AM,5.083
5:20AM,5.3
5:21AM,120.483
5:22AM,4.25
5:23AM,4.967
5:24AM,5.767
5:25AM,149.067
5:26AM,5.417
5:27AM,5.317
5:28AM,125.017
5:29AM,5.167
5:30AM,5.35
5:31AM,123.1
5:32AM,152.017
5:33AM,169.05
5:34AM,120.5
5:35AM,5.117
5:36AM,5.333
5:37AM,5.017
5:38AM,131.533
5:39AM,5.517
5:40AM,5.517
5:41AM,120.017
5:42AM,5.267
5:43AM,5.133
5:44AM,121.483
5:45AM,5.233
5:46AM,4.183
5:47AM,130.433
5:48AM,5.117
5:49AM,5.133
