TimeOfDay,Power_Consumed,Luminous_Efficacy
12:00AM,29.6,85.801
12:01AM,29.567,60.795
12:02AM,29.567,86.7
12:03AM,29.467,78.717
12:04AM,29.283,73.697
12:05AM,30,85.006
12:06AM,32.083,62.577
12:07AM,32.25,78.754
12:08AM,32.3,60.184
12:09AM,32.367,68.033
12:10AM,33.1,87.485
12:11AM,32.767,65.672
12:12AM,32.767,65.829
12:13AM,32.667,66.457
12:14AM,32.767,84.82
12:15AM,32.667,85.427
12:16AM,32.267,74.507
12:17AM,31.583,66.304
12:18AM,30.033,67.086
12:19AM,30.383,68.259
12:20AM,30.133,77.536
12:21AM,29.6,89.456
12:22AM,29.7,83.074
12:23AM,140.683,81.062
12:24AM,401.817,67.212
12:25AM,397.583,86.517
12:26AM,29.133,76.676
12:27AM,348.283,71.673
12:28AM,361.3,63.121
12:29AM,402.033,62.09
12:30AM,344.65,89.843
12:31AM,33.667,69.366
12:32AM,34.033,69.268
12:33AM,33.75,87.704
12:34AM,33.9,67.299
12:35AM,33.933,77.703
12:36AM,33.817,79.321
12:37AM,33.5,76.948
12:38AM,33.383,79.097
12:39AM,33.717,85.976
12:40AM,33.683,73.392
12:41AM,33.583,80.538
12:42AM,32.483,77.154
12:43AM,31.267,66.273
12:44AM,30.933,82.549
12:45AM,332.7,83.259
12:46AM,497.467,66.613
12:47AM,391.833,88.312
12:48AM,455.2,88.291
12:49AM,158.9,86.567
12:50AM,78.633,86.775
12:51AM,380.9,72.856
12:52AM,92.333,72.333
12:53AM,131.783,88.496
12:54AM,29.917,61.125
12:55AM,29.983,65.799
12:56AM,29.45,66.72
12:57AM,29.817,65.427
12:58AM,30.183,74.824
12:59AM,30.083,84.367
1:00AM,30.117,76.881
1:01AM,30.083,73.18
1:02AM,30.05,84.969
1:03AM,30.083,63.908
1:04AM,29.867,64.442
1:05AM,29.8,74.284
1:06AM,28.933,82.724
1:07AM,27.55,86.244
1:08AM,27.667,78.975
1:09AM,27.467,65.162
1:10AM,27.617,61.903
1:11AM,27.6,60.973
1:12AM,27.6,76.761
1:13AM,27.233,73.423
1:14AM,27.45,61.831
1:15AM,28.1,69.766
1:16AM,28.217,83.448
1:17AM,28.133,71.07
1:18AM,88.883,67.861
1:19AM,28.767,60.286
1:20AM,29.517,70.667
1:21AM,30.067,65.905
1:22AM,30.55,78.627
1:23AM,30.1,61.471
1:24AM,30.283,73.405
1:25AM,30.35,81.361
1:26AM,30.15,81.209
