TimeOfDay,Power_Consumed
12:00AM,0.417
12:01AM,0.8
12:02AM,0.483
12:03AM,0.667
12:04AM,0.467
12:05AM,0.683
12:06AM,0.767
12:07AM,0.717
12:08AM,0.717
12:09AM,0.5
12:10AM,0.767
12:11AM,0.817
12:12AM,0.783
12:13AM,0.767
12:14AM,0.783
12:15AM,0.767
12:16AM,0.383
12:17AM,0.817
12:18AM,0.383
12:19AM,0.85
12:20AM,0.35
12:21AM,0.633
12:22AM,0.35
12:23AM,0.783
12:24AM,0.417
12:25AM,0.75
12:26AM,0.483
12:27AM,0.733
12:28AM,0.267
12:29AM,0.75
12:30AM,0.767
12:31AM,0.667
12:32AM,0.517
12:33AM,0.483
12:34AM,0.533
12:35AM,0.367
12:36AM,0.45
12:37AM,0.367
12:38AM,0.783
12:39AM,0.733
12:40AM,0.717
12:41AM,0.5
12:42AM,0.683
12:43AM,0.75
12:44AM,0.367
12:45AM,0.767
12:46AM,0.783
12:47AM,0.433
12:48AM,0.817
12:49AM,0.417
12:50AM,0.767
12:51AM,0.467
12:52AM,0.667
12:53AM,0.45
12:54AM,0.767
12:55AM,0.433
12:56AM,0.75
12:57AM,0.383
12:58AM,0.75
12:59AM,0.433
1:00AM,0.833
1:01AM,0.45
1:02AM,0.833
1:03AM,0.717
1:04AM,0.767
1:05AM,0.683
1:06AM,0.783
1:07AM,0.4
1:08AM,0.317
1:09AM,0.533
1:10AM,0.95
1:11AM,0.883
1:12AM,0.9
1:13AM,0.75
1:14AM,0.767
1:15AM,0.917
1:16AM,0.6
1:17AM,1.167
1:18AM,0.767
1:19AM,0.4
1:20AM,0.667
1:21AM,0.35
1:22AM,0.717
1:23AM,0.317
1:24AM,0.683
1:25AM,0.667
1:26AM,0.583
1:27AM,0.783
1:28AM,0.367
1:29AM,0.617
1:30AM,0.383
1:31AM,0.617
1:32AM,0.733
1:33AM,0.667
1:34AM,0.767
1:35AM,0.367
1:36AM,0.85
1:37AM,0.5
1:38AM,0.733
1:39AM,1.033
1:40AM,0.9
