TimeOfDay,Power_Consumed
12:00AM,6.767
12:01AM,6.633
12:02AM,6.9
12:03AM,122.1
12:04AM,6.8
12:05AM,7.017
12:06AM,6.5
12:07AM,6.883
12:08AM,7.067
12:09AM,6.567
12:10AM,6.683
12:11AM,6.883
12:12AM,6.583
12:13AM,6.833
12:14AM,6.717
12:15AM,6.833
12:16AM,7.083
12:17AM,6.65
12:18AM,123.05
12:19AM,121.75
12:20AM,6.55
12:21AM,6.983
12:22AM,6.967
12:23AM,6.367
12:24AM,6.633
12:25AM,6.7
12:26AM,6.617
12:27AM,6.683
12:28AM,6.567
12:29AM,6.583
12:30AM,6.717
12:31AM,6.467
12:32AM,6.767
12:33AM,6.717
12:34AM,6.65
12:35AM,6.867
12:36AM,6.85
12:37AM,122
12:38AM,122.267
12:39AM,6.967
12:40AM,6.917
12:41AM,6.567
12:42AM,7.133
12:43AM,6.867
12:44AM,6.267
12:45AM,6.583
12:46AM,6.4
12:47AM,6.717
12:48AM,6.633
12:49AM,6.717
12:50AM,6.667
12:51AM,6.667
12:52AM,7.167
12:53AM,6.717
12:54AM,100.8
12:55AM,121.85
12:56AM,6.767
12:57AM,7.233
12:58AM,6.5
12:59AM,6.817
1:00AM,6.9
1:01AM,6.933
1:02AM,6.6
1:03AM,6.95
1:04AM,7
1:05AM,7.183
1:06AM,6.783
1:07AM,6.783
1:08AM,6.967
1:09AM,5.883
1:10AM,119.283
1:11AM,122.717
1:12AM,6.8
1:13AM,6.667
1:14AM,6.767
1:15AM,6.983
1:16AM,6.967
1:17AM,6.45
1:18AM,123.533
1:19AM,124.983
1:20AM,7.1
1:21AM,6.767
1:22AM,6.9
1:23AM,6.883
1:24AM,6.95
1:25AM,6.767
1:26AM,6.783
1:27AM,6.767
1:28AM,6.733
1:29AM,7.2
1:30AM,6.717
1:31AM,7.067
1:32AM,6.617
1:33AM,121.65
1:34AM,121.967
1:35AM,6.617
1:36AM,6.667
1:37AM,6.6
1:38AM,6.633
1:39AM,6.633
1:40AM,6.667
1:41AM,6.717
1:42AM,123.917
1:43AM,6.517
1:44AM,6.6
1:45AM,7.183
1:46AM,6.717
1:47AM,6.7
1:48AM,6.917
1:49AM,6.767
1:50AM,6.6
1:51AM,6.967
1:52AM,6.983
1:53AM,6.883
1:54AM,6.9
1:55AM,6.8
1:56AM,6.917
1:57AM,122.217
1:58AM,6.583
1:59AM,6.667
2:00AM,6.633
2:01AM,6.65
2:02AM,6.667
2:03AM,6.817
2:04AM,6.65
2:05AM,6.683
2:06AM,6.9
2:07AM,124.217
2:08AM,123.9
2:09AM,6.717
2:10AM,6.817
2:11AM,5.883
2:12AM,6.1
2:13AM,6.95
2:14AM,6.95
2:15AM,6.55
2:16AM,6.667
2:17AM,6.667
2:18AM,6.85
2:19AM,6.85
2:20AM,6.833
2:21AM,6.633
2:22AM,6.65
2:23AM,6.683
2:24AM,6.45
2:25AM,121.633
2:26AM,6.467
2:27AM,6.983
2:28AM,6.717
2:29AM,6.933
2:30AM,6.867
2:31AM,7.05
2:32AM,6.8
2:33AM,6.767
2:34AM,123.383
2:35AM,6.9
2:36AM,7.15
2:37AM,6.5
2:38AM,6.9
2:39AM,6.567
