TimeOfDay,Power_Generated,Temperature,Voltage
12:01AM,0,11.209,202.602
12:02AM,0,9.662,195.212
12:03AM,0,10.52,279.896
12:04AM,0,9.421,219.309
12:05AM,0,10.121,263.467
12:06AM,0,11.185,276.808
12:07AM,0,10.848,269.214
12:08AM,0,9.988,199.269
12:09AM,0,8.219,243.097
12:10AM,0,9.598,274.462
12:11AM,0,11.701,275.193
12:12AM,0,10.627,246.302
12:13AM,0,10.079,285.009
12:14AM,0,9.406,216.072
12:15AM,0,9.523,218.856
12:16AM,0,12.012,196.285
12:17AM,0,8.383,230.833
12:18AM,0,8.753,242.452
12:19AM,0,9.531,223.243
12:20AM,0,9.545,228.596
12:21AM,0,8.434,216.188
12:22AM,0,11.762,237.325
12:23AM,0,10.518,279.437
12:24AM,0,9.024,220.885
12:25AM,0,8.208,229.054
12:26AM,0,11.657,205.81
12:27AM,0,8.737,201.545
12:28AM,0,8.243,223.645
12:29AM,0,10.511,265.069
12:30AM,0,8.583,220.866
12:31AM,0,8.164,207.405
12:32AM,0,8.318,216.468
12:33AM,0,9.539,237.425
12:34AM,0,8.212,227.85
12:35AM,0,9.094,274.787
12:36AM,0,10.422,205.602
12:37AM,0,11.114,238.555
12:38AM,0,9.114,211.979
12:39AM,0,8.17,198.621
12:40AM,0,10.328,223.276
12:41AM,0,8.167,241.161
12:42AM,0,11.501,214.971
12:43AM,0,9.225,289.533
12:44AM,0,9.948,245.616
12:45AM,0,11.637,207.204
12:46AM,0,9.131,271.517
12:47AM,0,9.165,291.694
12:48AM,0,8.616,225.041
12:49AM,0,8.085,268.986
12:50AM,0,9.027,195.203
12:51AM,0,8.19,265.55
12:52AM,0,8.295,287.377
12:53AM,0,10.05,226.006
12:54AM,0,11.746,219.328
12:55AM,0,7.974,222.167
12:56AM,0,9.991,223.75
12:57AM,0,10.124,267.383
12:58AM,0,9.908,226.074
12:59AM,0,8.423,282.793
1:00AM,0,11.27,282.237
1:01AM,0,8.83,202.678
1:02AM,0,11.907,241.417
1:03AM,0,10.206,280.819
1:04AM,0,11.579,271.616
1:05AM,0,11.531,230.057
1:06AM,0,9.97,212.56
1:07AM,0,11.682,247.896
1:08AM,0,11.746,266.258
1:09AM,0,11.84,255.286
1:10AM,0,11.524,291.948
1:11AM,0,10.896,268.699
1:12AM,0,8.78,271.749
1:13AM,0,8.777,201.956
1:14AM,0,8.599,291.694
1:15AM,0,11.578,262.578
1:16AM,0,11.184,253.614
1:17AM,0,10.299,257.579
1:18AM,0,8.589,282.77
1:19AM,0,11.995,222.487
1:20AM,0,10.804,196.253
1:21AM,0,9.54,260.483
1:22AM,0,8.505,211.318
1:23AM,0,8.168,261.221
1:24AM,0,10.273,223.428
1:25AM,0,8.932,269.574
1:26AM,0,8.234,199.274
1:27AM,0,9.245,209.905
1:28AM,0,9.819,225.01
1:29AM,0,9.342,250.786
1:30AM,0,8.314,215.226
1:31AM,0,11.317,241.138
1:32AM,0,11.791,267.424
1:33AM,0,10.106,267.176
1:34AM,0,11.697,267.173
1:35AM,0,9.534,290.371
1:36AM,0,10.39,281.901
1:37AM,0,11.144,283.609
1:38AM,0,9.24,232.697
1:39AM,0,11.373,285.347
1:40AM,0,10.079,271.717
1:41AM,0,8.64,288.761
1:42AM,0,8.207,267.274
1:43AM,0,8.155,222.971
1:44AM,0,8.864,246.793
1:45AM,0,9.972,232.958
1:46AM,0,8.276,202.164
1:47AM,0,11.869,266.011
1:48AM,0,10.753,222.204
1:49AM,0,8.97,245.781
1:50AM,0,8.65,205.111
1:51AM,0,11.647,290.849
1:52AM,0,11.558,267.506
1:53AM,0,9.673,225.485
1:54AM,0,9.988,248.898
1:55AM,0,8.376,249.982
1:56AM,0,11.623,272.481
1:57AM,0,9.711,268.952
1:58AM,0,8.113,248.624
1:59AM,0,11.589,240.698
2:00AM,0,8.665,273.995
2:01AM,0,10.86,281.249
2:02AM,0,8.738,224.589
2:03AM,0,9.318,254.338
2:04AM,0,10.452,258.541
2:05AM,0,8.235,242.351
2:06AM,0,8.173,254.622
2:07AM,0,11.523,228.165
2:08AM,0,8.231,267.527
2:09AM,0,11.699,283.219
2:10AM,0,11.418,293.003
2:11AM,0,8.265,220.754
2:12AM,0,8.006,272.196
2:13AM,0,9.608,284.804
2:14AM,0,11.206,252.834
2:15AM,0,9.341,275.426
2:16AM,0,8.31,290.785
2:17AM,0,11.447,280.638
2:18AM,0,11.776,223.402
2:19AM,0,9.881,261.113
2:20AM,0,11.24,220.899
2:21AM,0,8.311,242.177
2:22AM,0,9.352,250.24
2:23AM,0,8.906,201.743
2:24AM,0,9.809,258.704
2:25AM,0,9.593,203.935
2:26AM,0,10.015,266.604
2:27AM,0,8.814,279.893
2:28AM,0,9.253,293.324
2:29AM,0,9.474,207.051
2:30AM,0,8.024,247.498
2:31AM,0,9.969,253.428
2:32AM,0,11.308,265.646
2:33AM,0,10.141,292.969
2:34AM,0,10.654,278.348
2:35AM,0,9.321,234.183
2:36AM,0,8.523,247.398
2:37AM,0,10.698,290.141
2:38AM,0,8.716,254.808
2:39AM,0,9.729,269.971
2:40AM,0,9.712,289.601
2:41AM,0,9.474,217.995
2:42AM,0,10.111,289.963
2:43AM,0,7.979,252.742
2:44AM,0,10.332,288.261
2:45AM,0,10.423,246.274
2:46AM,0,7.885,291.384
2:47AM,0,11.388,218.495
2:48AM,0,10.89,224.435
2:49AM,0,8.514,225.587
2:50AM,0,8.859,232.425
2:51AM,0,10.331,206.171
2:52AM,0,11.06,224.847
2:53AM,0,9.331,273.63
2:54AM,0,8.525,209.106
2:55AM,0,11.095,204.736
2:56AM,0,8.682,250.828
2:57AM,0,9.337,241.587
2:58AM,0,11.272,251.575
2:59AM,0,11.18,258.076
3:00AM,0,11.634,235.426
3:01AM,0,8.092,271.921
3:02AM,0,9.456,195.895
3:03AM,0,10.567,277.569
3:04AM,0,9.422,257.552
3:05AM,0,8.529,267.677
3:06AM,0,10.373,288.809
3:07AM,0,9.983,289.51
3:08AM,0,11.382,281.841
3:09AM,0,8.548,270.028
3:10AM,0,9.063,290.418
3:11AM,0,10.496,236.088
3:12AM,0,10.853,206.51
3:13AM,0,10.718,236.584
3:14AM,0,8.542,246.575
3:15AM,0,11.215,291.618
3:16AM,0,10.156,264.402
3:17AM,0,10.286,216.002
3:18AM,0,10.7,237.11
3:19AM,0,11.416,211.604
3:20AM,0,9.005,218.612
3:21AM,0,9.022,233.364
3:22AM,0,10.037,266.911
3:23AM,0,10.946,235.389
3:24AM,0,10.718,285.053
3:25AM,0,8.273,231.457
3:26AM,0,7.907,199.686
3:27AM,0,8.116,253.186
3:28AM,0,10.561,262.769
3:29AM,0,11.639,288.185
3:30AM,0,11.53,279.235
3:31AM,0,9.667,238.377
3:32AM,0,11.184,281.337
3:33AM,0,11.209,224.934
3:34AM,0,10.271,273.694
3:35AM,0,8.712,282.753
3:36AM,0,8.429,256.244
3:37AM,0,7.839,283.253
3:38AM,0,11.719,217.873
3:39AM,0,8.471,255.119
3:40AM,0,8.164,253.548
3:41AM,0,8.642,278.862
3:42AM,0,10.358,221.896
3:43AM,0,9.091,220.809
3:44AM,0,8.934,211.104
3:45AM,0,10.275,239.635
3:46AM,0,10.738,242.024
3:47AM,0,9.583,274.843
3:48AM,0,11.399,286.708
3:49AM,0,10.988,241.553
3:50AM,0,9.873,261.727
3:51AM,0,9.465,269.809
3:52AM,0,9.598,234.294
3:53AM,0,10.638,249.965
3:54AM,0,10.937,276.026
3:55AM,0,9.946,265.316
3:56AM,0,9.218,229.254
3:57AM,0,11.059,234.628
3:58AM,0,11.244,257.174
3:59AM,0,9.504,223.314
4:00AM,0,10.048,275.813
4:01AM,0,8.787,272.033
4:02AM,0,8.614,278.346
4:03AM,0,7.889,211.38
4:04AM,0,11.036,196.924
4:05AM,0,8.443,257.775
4:06AM,0,11.514,230.994
4:07AM,0,8.629,239.017
4:08AM,0,9.443,262.078
4:09AM,0,8.28,247.258
4:10AM,0,11.348,196.997
4:11AM,0,7.858,209.276
4:12AM,0,10.953,248.221
4:13AM,0,10.773,227.903
4:14AM,0,9.06,227.793
4:15AM,0,10.55,194.83
4:16AM,0,8.565,264.363
4:17AM,0,10.739,241.046
4:18AM,0,10.436,229.76
4:19AM,0,10.388,274.945
4:20AM,0,8.926,202.596
4:21AM,0,8.76,204.82
4:22AM,0,11.344,274.151
4:23AM,0,8.463,228.558
4:24AM,0,11.396,213.099
4:25AM,0,9.113,281.016
4:26AM,0,11.335,263.851
4:27AM,0,11.106,283.457
4:28AM,0,8.245,206.96
4:29AM,0,8.457,225.833
4:30AM,0,9.055,208.335
4:31AM,0,11.267,238.331
4:32AM,0,9.74,199.626
4:33AM,0,7.824,268.954
4:34AM,0,9.698,195.698
4:35AM,0,11.085,275.232
4:36AM,0,10.994,226.631
4:37AM,0,8.618,265.903
4:38AM,0,9.191,238.435
4:39AM,0,9.591,208.488
4:40AM,0,9.911,268.949
4:41AM,0,7.932,279.075
4:42AM,0,9.019,199.443
4:43AM,0,10.542,276.996
4:44AM,0,10.942,284.11
4:45AM,0,9.504,229.59
4:46AM,0,9.226,218.595
4:47AM,0,8.469,223.656
4:48AM,0,8.695,200.801
4:49AM,0,9.822,242.93
4:50AM,0,7.852,196.186
4:51AM,0,8.478,234.376
4:52AM,0,10.119,235.275
4:53AM,0,8.123,243.817
4:54AM,0,9.598,204.653
4:55AM,0,9.935,231.758
4:56AM,0,8.146,282.937
4:57AM,0,8.514,199.123
4:58AM,0,10.072,228.769
4:59AM,0,9.406,269.611
5:00AM,0,10.518,268.669
5:01AM,0,10.251,260.552
5:02AM,0,10.927,254.683
5:03AM,0,10.916,272.649
5:04AM,0,10.379,222.234
5:05AM,0,9.287,261.766
5:06AM,0,9.251,258.741
5:07AM,0,9.568,236.804
5:08AM,0,10.717,273.936
5:09AM,0,7.427,249.953
5:10AM,0,9.34,212.482
5:11AM,0,8.609,229.311
5:12AM,0,8.196,273.235
5:13AM,0,9.768,263.763
5:14AM,0,8.484,214.999
5:15AM,0,7.926,242.918
5:16AM,0,7.93,209.749
5:17AM,0,8.335,290.694
5:18AM,0,7.823,213.786
5:19AM,0,10.905,274.347
