TimeOfDay,Power_Consumed
12:00AM,12.9
12:01AM,12.767
12:02AM,12.8
12:03AM,13.15
12:04AM,12.317
12:05AM,13.217
12:06AM,62.533
12:07AM,12.967
12:08AM,12.633
12:09AM,12.283
12:10AM,12.533
12:11AM,12.9
12:12AM,12.417
12:13AM,13.083
12:14AM,12.55
12:15AM,13.067
12:16AM,12.85
12:17AM,12.317
12:18AM,13.267
12:19AM,12.2
12:20AM,12.783
12:21AM,13.233
12:22AM,13.1
12:23AM,12.133
12:24AM,12.867
12:25AM,12.717
12:26AM,12.683
12:27AM,12.767
12:28AM,12.717
12:29AM,12.75
12:30AM,12.8
12:31AM,12.133
12:32AM,12.85
12:33AM,12.683
12:34AM,12.95
12:35AM,13.033
12:36AM,13.017
12:37AM,13.5
12:38AM,12.95
12:39AM,12.867
12:40AM,13.233
12:41AM,12.333
12:42AM,12.65
12:43AM,12.733
12:44AM,12
12:45AM,12.85
12:46AM,12.217
12:47AM,12.85
12:48AM,12.217
12:49AM,12.85
12:50AM,12.683
12:51AM,12.75
12:52AM,13.483
12:53AM,12.833
12:54AM,13.333
12:55AM,12.633
12:56AM,12.867
12:57AM,13.533
12:58AM,12.217
12:59AM,12.85
1:00AM,12.45
1:01AM,12.983
1:02AM,12.483
1:03AM,12.8
1:04AM,13.033
1:05AM,13.05
1:06AM,13.033
1:07AM,12.533
1:08AM,13.15
1:09AM,11.15
1:10AM,10.7
1:11AM,12.617
1:12AM,12.917
1:13AM,12.917
1:14AM,13.033
1:15AM,12.817
1:16AM,57.117
1:17AM,12.167
1:18AM,12.667
1:19AM,12.983
1:20AM,12.983
1:21AM,13
1:22AM,13.15
1:23AM,13.083
1:24AM,13.067
1:25AM,13
1:26AM,13
1:27AM,12.467
1:28AM,13.05
1:29AM,13.333
1:30AM,12.933
1:31AM,13.45
1:32AM,12.35
1:33AM,12.85
1:34AM,12.083
1:35AM,12.55
1:36AM,12.483
1:37AM,12.783
1:38AM,12.85
1:39AM,12.65
1:40AM,12.567
1:41AM,12.767
1:42AM,12.417
1:43AM,12.217
1:44AM,12.383
1:45AM,13.467
1:46AM,13.2
1:47AM,13.1
1:48AM,13.083
1:49AM,13
1:50AM,12.4
1:51AM,12.95
1:52AM,12.9
1:53AM,12.733
1:54AM,12.767
1:55AM,12.817
1:56AM,13.267
1:57AM,12.833
1:58AM,12.567
1:59AM,12.8
2:00AM,12.833
2:01AM,12.917
2:02AM,12.883
2:03AM,12.917
2:04AM,12.817
2:05AM,12.783
2:06AM,12.2
2:07AM,12.583
2:08AM,13.15
2:09AM,13.067
2:10AM,13.283
2:11AM,10.983
2:12AM,11.433
2:13AM,13.117
2:14AM,12.967
2:15AM,12.333
2:16AM,12.817
2:17AM,12.833
2:18AM,12.567
2:19AM,13.05
2:20AM,12.95
2:21AM,12.35
2:22AM,12.833
2:23AM,12.867
2:24AM,12.267
2:25AM,12.617
2:26AM,12.383
2:27AM,13.2
2:28AM,12.6
2:29AM,13.083
2:30AM,12.567
2:31AM,13.133
2:32AM,12.867
2:33AM,12.85
2:34AM,12.95
2:35AM,13
2:36AM,13.1
2:37AM,12.417
2:38AM,13.067
2:39AM,12.333
2:40AM,12.933
2:41AM,12.9
2:42AM,12.683
2:43AM,12.917
2:44AM,12.717
2:45AM,12.883
2:46AM,12.9
2:47AM,12.85
2:48AM,12.667
2:49AM,12.783
2:50AM,13.333
2:51AM,12.7
2:52AM,12.25
2:53AM,12.783
2:54AM,13.067
2:55AM,12.65
2:56AM,12.55
2:57AM,12.617
2:58AM,13.033
2:59AM,12.933
3:00AM,13.117
3:01AM,13.05
3:02AM,12.5
3:03AM,13.183
3:04AM,13.183
3:05AM,12.533
3:06AM,12.217
3:07AM,12.8
3:08AM,12.733
3:09AM,13.033
3:10AM,12.967
3:11AM,12.883
3:12AM,12.733
3:13AM,12.817
3:14AM,12.917
3:15AM,12.917
3:16AM,12.833
3:17AM,12.6
3:18AM,12.6
3:19AM,12.733
3:20AM,12.667
3:21AM,12.983
3:22AM,13.067
3:23AM,12.417
3:24AM,13.5
3:25AM,12.933
3:26AM,12.1
3:27AM,13.017
3:28AM,12.75
3:29AM,12.35
3:30AM,12.567
3:31AM,12.267
3:32AM,12.667
3:33AM,12.267
3:34AM,12.267
3:35AM,12.75
3:36AM,11.983
3:37AM,12.883
3:38AM,12.133
3:39AM,12.8
3:40AM,12.533
3:41AM,12.867
3:42AM,11.133
3:43AM,104.05
3:44AM,12.467
3:45AM,12.283
3:46AM,12.983
3:47AM,13
3:48AM,12.867
3:49AM,12.383
3:50AM,13.017
3:51AM,12.5
3:52AM,13.483
3:53AM,12.817
3:54AM,13.367
3:55AM,13.25
3:56AM,12.783
3:57AM,13.1
3:58AM,12.05
3:59AM,12.717
4:00AM,12.733
4:01AM,12.417
4:02AM,13.35
4:03AM,13.067
4:04AM,12.917
4:05AM,12.75
4:06AM,12.783
4:07AM,21.817
4:08AM,12.883
4:09AM,13.183
4:10AM,13.6
4:11AM,13.133
4:12AM,12.55
4:13AM,13.083
4:14AM,12.65
4:15AM,13.1
4:16AM,12.483
4:17AM,13.017
4:18AM,13.617
4:19AM,12.9
4:20AM,12.35
4:21AM,12.7
4:22AM,12.517
4:23AM,12.417
4:24AM,12.483
4:25AM,12.367
4:26AM,12.95
4:27AM,12.683
4:28AM,11.45
4:29AM,12.75
4:30AM,12.383
4:31AM,12.333
4:32AM,12.583
4:33AM,12.667
4:34AM,12.55
4:35AM,12.55
4:36AM,12.65
4:37AM,12.6
4:38AM,12.567
4:39AM,12.567
4:40AM,12.433
4:41AM,12.483
4:42AM,12.8
4:43AM,12.383
4:44AM,12.4
4:45AM,12.367
4:46AM,12.15
4:47AM,12.333
4:48AM,12.383
4:49AM,12.483
4:50AM,12.917
4:51AM,13.117
4:52AM,13.017
4:53AM,12.783
4:54AM,13.033
4:55AM,12.7
4:56AM,13.017
4:57AM,12.933
4:58AM,13.25
4:59AM,13.2
5:00AM,13.7
5:01AM,12.8
5:02AM,13.517
5:03AM,13.283
5:04AM,13.067
5:05AM,13.433
5:06AM,13.4
5:07AM,12.933
5:08AM,13
5:09AM,12.8
5:10AM,13.233
5:11AM,13
5:12AM,13
5:13AM,13.017
5:14AM,13.1
5:15AM,13.067
5:16AM,12.9
5:17AM,12.867
5:18AM,13.217
5:19AM,13.3
5:20AM,13.5
5:21AM,13.55
5:22AM,40.567
5:23AM,13.083
5:24AM,13.6
5:25AM,13.167
5:26AM,13.183
5:27AM,13.25
5:28AM,13.15
5:29AM,13.117
5:30AM,13.433
5:31AM,13.3
5:32AM,12.817
5:33AM,13.083
5:34AM,13.167
5:35AM,13.1
5:36AM,13.3
5:37AM,13.033
5:38AM,13.2
5:39AM,13
5:40AM,12.917
5:41AM,12.833
5:42AM,13.017
5:43AM,12.6
5:44AM,13.183
5:45AM,13.433
5:46AM,11.65
5:47AM,12.483
5:48AM,13.1
5:49AM,13.133
5:50AM,13.25
5:51AM,13.6
5:52AM,13.1
5:53AM,13.083
5:54AM,13.317
5:55AM,12.783
5:56AM,13.033
5:57AM,13.233
5:58AM,13.333
5:59AM,13.383
6:00AM,12.933
6:01AM,12.85
6:02AM,12.767
6:03AM,12.983
6:04AM,12.867
6:05AM,12.933
6:06AM,12.733
6:07AM,12.933
6:08AM,13.317
6:09AM,13.3
6:10AM,12.817
6:11AM,13.15
6:12AM,13.133
6:13AM,13.7
6:14AM,13.65
6:15AM,13.217
6:16AM,13.617
6:17AM,13.367
6:18AM,13.533
6:19AM,13.483
6:20AM,13.05
6:21AM,13.1
6:22AM,13.083
6:23AM,13.067
6:24AM,12.95
6:25AM,12.85
6:26AM,13.067
6:27AM,12.817
6:28AM,122.767
6:29AM,12.633
6:30AM,12.267
6:31AM,12.5
6:32AM,12.967
6:33AM,13.05
6:34AM,13.067
6:35AM,11.65
6:36AM,11.083
6:37AM,13.217
6:38AM,13.2
6:39AM,12.5
6:40AM,13.25
6:41AM,13.1
6:42AM,12.333
6:43AM,13.15
6:44AM,13.117
6:45AM,13.5
6:46AM,12.15
6:47AM,13.067
6:48AM,12.95
6:49AM,12.95
6:50AM,12.383
6:51AM,12.683
6:52AM,12.617
6:53AM,12.717
6:54AM,12.417
6:55AM,12.45
6:56AM,13.6
6:57AM,13.2
6:58AM,12.833
6:59AM,13.583
7:00AM,12.95
7:01AM,13.217
7:02AM,13.233
7:03AM,13.067
7:04AM,13.517
7:05AM,13.083
7:06AM,13.067
7:07AM,13.117
7:08AM,13.15
7:09AM,12.233
7:10AM,12.05
7:11AM,12.717
7:12AM,12.35
7:13AM,13
7:14AM,12.9
7:15AM,13.117
7:16AM,13.067
7:17AM,12.9
7:18AM,12.917
7:19AM,12.617
7:20AM,13.1
7:21AM,12.933
7:22AM,12.817
7:23AM,13.167
7:24AM,13.217
7:25AM,13.15
7:26AM,13.283
7:27AM,13.633
7:28AM,13.15
7:29AM,13.65
7:30AM,13.45
7:31AM,13.3
7:32AM,12.817
7:33AM,12.8
7:34AM,39.367
7:35AM,12.95
7:36AM,12.533
7:37AM,12.817
7:38AM,12.883
7:39AM,12.133
7:40AM,12.683
7:41AM,60.867
7:42AM,10.933
7:43AM,12.333
7:44AM,13.017
7:45AM,13.2
7:46AM,13.133
7:47AM,13.1
7:48AM,13.2
7:49AM,13.067
7:50AM,13
7:51AM,13.517
7:52AM,13.417
7:53AM,12.317
7:54AM,13.417
7:55AM,12.733
7:56AM,12.767
7:57AM,12.4
7:58AM,12.967
7:59AM,13.1
8:00AM,12.983
8:01AM,12.967
8:02AM,12.983
8:03AM,13.083
8:04AM,12.983
8:05AM,12.833
8:06AM,12.883
8:07AM,13.017
8:08AM,12.733
8:09AM,13.017
8:10AM,13.033
8:11AM,13.117
8:12AM,13.133
8:13AM,13.167
8:14AM,13.233
8:15AM,13.25
8:16AM,13.017
8:17AM,13.067
8:18AM,13.367
8:19AM,13.067
8:20AM,12.7
8:21AM,13.083
8:22AM,13.017
8:23AM,13.083
8:24AM,13.033
8:25AM,12.967
8:26AM,12.983
8:27AM,12.9
8:28AM,12.883
8:29AM,12.883
8:30AM,12.917
8:31AM,12.95
8:32AM,13.233
8:33AM,12.983
8:34AM,13.117
8:35AM,13.067
8:36AM,13.1
8:37AM,13.15
8:38AM,13.117
8:39AM,13.033
8:40AM,13.083
8:41AM,13
8:42AM,12.95
8:43AM,12.95
8:44AM,12.7
8:45AM,12.717
8:46AM,12.833
8:47AM,12.9
8:48AM,12.917
8:49AM,12.95
8:50AM,12.917
8:51AM,12.817
8:52AM,12.85
8:53AM,12.867
8:54AM,12.9
8:55AM,12.8
8:56AM,13.083
8:57AM,13
8:58AM,13.05
8:59AM,13
9:00AM,13.067
9:01AM,13.083
9:02AM,30.817
9:03AM,13.217
9:04AM,13.133
9:05AM,13.067
9:06AM,13.05
9:07AM,12.85
9:08AM,12.867
9:09AM,12.783
9:10AM,13
9:11AM,12.85
9:12AM,12.917
9:13AM,12.95
9:14AM,13.033
9:15AM,12.95
9:16AM,12.883
9:17AM,12.95
9:18AM,12.867
9:19AM,12.933
9:20AM,12.9
9:21AM,13.05
9:22AM,13.083
9:23AM,13.017
9:24AM,13.167
9:25AM,13.083
9:26AM,12.983
9:27AM,13.117
9:28AM,13.25
9:29AM,13.033
9:30AM,12.95
9:31AM,12.383
9:32AM,13.367
9:33AM,13
9:34AM,12.767
9:35AM,12.633
9:36AM,11.517
9:37AM,12.983
9:38AM,12.983
9:39AM,12.867
9:40AM,12.733
9:41AM,12.967
9:42AM,12.767
9:43AM,12.767
9:44AM,12.617
9:45AM,12.917
9:46AM,12.933
9:47AM,13.033
9:48AM,13.083
9:49AM,13
9:50AM,13.1
9:51AM,13.067
9:52AM,13.133
9:53AM,13.083
9:54AM,12.983
9:55AM,12.383
9:56AM,12.683
9:57AM,12.55
9:58AM,12.717
9:59AM,12.267
10:00AM,12.783
10:01AM,12.733
10:02AM,12.683
10:03AM,12.917
10:04AM,12.867
10:05AM,12.667
10:06AM,12.85
10:07AM,12.6
10:08AM,11.45
10:09AM,11.317
10:10AM,12.9
10:11AM,12.983
10:12AM,13.117
10:13AM,13.133
10:14AM,13.083
10:15AM,13.083
10:16AM,12.917
10:17AM,12.267
10:18AM,12.75
10:19AM,11.967
10:20AM,12.767
10:21AM,12.65
10:22AM,12.85
10:23AM,12.95
10:24AM,12.783
10:25AM,13.183
10:26AM,12.783
10:27AM,12.15
10:28AM,12.55
10:29AM,12.817
10:30AM,12.033
10:31AM,12.683
10:32AM,12.317
10:33AM,12.583
10:34AM,12.917
10:35AM,12.933
10:36AM,12.317
10:37AM,13.017
10:38AM,13.433
10:39AM,12.417
10:40AM,12.967
10:41AM,12.7
10:42AM,13.25
10:43AM,12.45
10:44AM,12.917
10:45AM,12.933
10:46AM,12.95
10:47AM,12.333
10:48AM,12.9
10:49AM,12.85
10:50AM,12.917
10:51AM,12.833
10:52AM,12.167
10:53AM,12.533
10:54AM,12.65
10:55AM,13.15
10:56AM,12.833
10:57AM,12.65
10:58AM,12.917
10:59AM,12.933
11:00AM,13.067
11:01AM,13.117
11:02AM,13.05
11:03AM,13.183
11:04AM,12.4
11:05AM,13.3
11:06AM,12.967
11:07AM,12.933
11:08AM,12.85
11:09AM,12.883
11:10AM,12.85
11:11AM,12.867
11:12AM,12.883
11:13AM,12.867
11:14AM,12.867
11:15AM,12.833
11:16AM,12.733
11:17AM,12.717
11:18AM,12.1
11:19AM,12.633
11:20AM,12.833
11:21AM,11.183
11:22AM,10.867
11:23AM,12.967
11:24AM,12.933
11:25AM,13
11:26AM,13.083
11:27AM,13.067
11:28AM,13.033
11:29AM,12.15
11:30AM,13.333
11:31AM,12.567
11:32AM,12.917
11:33AM,12.867
11:34AM,12.967
